region,period,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
40000000000 Город Санкт-Петербург город федерального значения,122 январь-март,"6,069","6,433","7,359","7,628","6,796","7,262","7,991","8,441","9,050","8,579","7,750","8,024","8,277","7,915","8,260"
40000000000 Город Санкт-Петербург город федерального значения,61 апрель,"2,816","3,280","3,074","3,786","4,117","3,418","3,823","3,150","4,010","4,192","2,963","3,778","3,818","2,980","1,568"
40000000000 Город Санкт-Петербург город федерального значения,117 январь-апрель,"8,885","9,713","10,433","11,414","10,913","10,680","11,814","11,591","13,060","12,771","10,713","11,802","12,095","10,895","9,828"
40000000000 Город Санкт-Петербург город федерального значения,67 май,"1,666","1,840","2,191","2,106","1,944","2,702","2,497","2,495","3,099","2,772","2,612","2,614","2,578","3,037","1,066"
40000000000 Город Санкт-Петербург город федерального значения,121 январь-май,"10,551","11,553","12,624","13,520","12,857","13,382","14,311","14,086","16,159","15,543","13,325","14,416","14,673","13,932","10,894"
40000000000 Город Санкт-Петербург город федерального значения,66 июнь,"4,405","4,962","4,415","5,464","5,415","5,881","6,417","6,543","6,256","6,030","6,073","6,050","5,733","5,215","3,348"
40000000000 Город Санкт-Петербург город федерального значения,120 январь-июнь,"14,956","16,515","17,039","18,984","18,272","19,263","20,728","20,629","22,415","21,573","19,398","20,466","20,406","19,147","14,242"
40000000000 Город Санкт-Петербург город федерального значения,65 июль,"4,826","5,653","5,791","6,279","6,750","6,849","6,944","7,077","7,262","7,840","7,173","7,184","6,138","5,883","5,066"
40000000000 Город Санкт-Петербург город федерального значения,119 январь-июль,"19,782","22,168","22,830","25,263","25,022","26,112","27,672","27,706","29,677","29,413","26,571","27,650","26,544","25,030","19,308"
40000000000 Город Санкт-Петербург город федерального значения,60 август,"5,083","5,970","6,681","6,597","6,724","7,163","7,534","7,851","7,446","7,671","7,253","7,576","7,178","6,534","5,706"
40000000000 Город Санкт-Петербург город федерального значения,116 январь-август,"24,865","28,138","29,511","31,860","31,746","33,275","35,206","35,557","37,123","37,084","33,824","35,226","33,722","31,564","25,014"
40000000000 Город Санкт-Петербург город федерального значения,108 сентябрь,"5,092","5,708","5,632","6,204","6,371","6,824","6,665","6,697","6,864","6,603","6,140","6,538","6,158","5,594","5,330"
40000000000 Город Санкт-Петербург город федерального значения,125 январь-сентябрь,"29,957","33,846","35,143","38,064","38,117","40,099","41,871","42,254","43,987","43,687","39,964","41,764","39,880","37,158","30,344"
40000000000 Город Санкт-Петербург город федерального значения,105 октябрь,"3,806","3,656","4,625","4,487","4,888","5,076","4,866","5,052","5,635","5,359","4,456","4,024","1,519","4,995","4,713"
40000000000 Город Санкт-Петербург город федерального значения,124 январь-октябрь,"33,763","37,502","39,768","42,551","43,005","45,175","46,737","47,306","49,622","49,046","44,420","45,788","41,399","42,153","35,057"
40000000000 Город Санкт-Петербург город федерального значения,104 ноябрь,"2,959","3,382","3,667","3,102","3,246","4,377","3,719","3,924","3,912","3,660","3,166","3,256","1,124","3,706","2,929"
40000000000 Город Санкт-Петербург город федерального значения,123 январь-ноябрь,"36,722","40,884","43,435","45,653","46,251","49,552","50,456","51,230","53,534","52,706","47,586","49,044","42,523","45,859","37,986"
40000000000 Город Санкт-Петербург город федерального значения,62 декабрь,"3,108","3,576","3,175","3,468","3,112","4,250","3,948","3,610","3,980","4,220","3,105","3,472","1,462","3,475","2,978"
40000000000 Город Санкт-Петербург город федерального значения,118 январь-декабрь,"39,830","44,460","46,610","49,121","49,363","53,802","54,404","54,840","57,514","56,926","50,691","52,516","43,985","49,334","40,964"
032 Южный федеральный округ (по 2009 год),115 январь,"8,848","9,822","10,912","10,643","","","","","","","","","","",""
032 Южный федеральный округ (по 2009 год),114 февраль,"9,581","11,270","12,444","12,705","","","","","","","","","","",""
032 Южный федеральный округ (по 2009 год),M01_02 январь-февраль,"18,429","21,092","23,356","23,348","","","","","","","","","","",""
032 Южный федеральный округ (по 2009 год),68 март,"10,686","11,024","14,403","10,709","","","","","","","","","","",""
032 Южный федеральный округ (по 2009 год),122 январь-март,"29,115","32,116","37,759","34,057","","","","","","","","","","",""
032 Южный федеральный округ (по 2009 год),61 апрель,"14,355","17,809","11,185","15,154","","","","","","","","","","",""
032 Южный федеральный округ (по 2009 год),117 январь-апрель,"43,470","49,925","48,944","49,211","","","","","","","","","","",""
032 Южный федеральный округ (по 2009 год),67 май,"7,276","7,941","9,966","8,776","","","","","","","","","","",""
032 Южный федеральный округ (по 2009 год),121 январь-май,"50,746","57,866","58,910","57,987","","","","","","","","","","",""
032 Южный федеральный округ (по 2009 год),66 июнь,"15,858","16,855","17,490","17,220","","","","","","","","","","",""
032 Южный федеральный округ (по 2009 год),120 январь-июнь,"66,604","74,721","76,400","75,207","","","","","","","","","","",""
032 Южный федеральный округ (по 2009 год),65 июль,"17,039","19,299","16,393","17,566","","","","","","","","","","",""
032 Южный федеральный округ (по 2009 год),119 январь-июль,"83,643","94,020","92,793","92,773","","","","","","","","","","",""
032 Южный федеральный округ (по 2009 год),60 август,"21,097","22,217","25,744","22,627","","","","","","","","","","",""
032 Южный федеральный округ (по 2009 год),116 январь-август,"104,740","116,237","118,537","115,400","","","","","","","","","","",""
032 Южный федеральный округ (по 2009 год),108 сентябрь,"25,392","25,780","20,798","22,242","","","","","","","","","","",""
032 Южный федеральный округ (по 2009 год),125 январь-сентябрь,"130,132","142,017","139,335","137,642","","","","","","","","","","",""
032 Южный федеральный округ (по 2009 год),105 октябрь,"16,905","20,752","20,022","21,583","","","","","","","","","","",""
032 Южный федеральный округ (по 2009 год),124 январь-октябрь,"147,037","162,769","159,357","159,225","","","","","","","","","","",""
032 Южный федеральный округ (по 2009 год),104 ноябрь,"15,236","19,977","16,627","15,121","","","","","","","","","","",""
032 Южный федеральный округ (по 2009 год),123 январь-ноябрь,"162,273","182,746","175,984","174,346","","","","","","","","","","",""
032 Южный федеральный округ (по 2009 год),62 декабрь,"13,229","19,261","13,138","13,337","","","","","","","","","","",""
032 Южный федеральный округ (по 2009 год),118 январь-декабрь,"175,502","202,007","189,122","187,683","","","","","","","","","","",""
037 Южный федеральный округ (с 2010 года),115 январь,"","","","","5,424","5,095","4,896","4,861","5,015","4,955","4,244","","","",""
037 Южный федеральный округ (с 2010 года),114 февраль,"","","","","5,545","5,903","5,766","5,343","6,475","5,780","4,487",0,"","",""
037 Южный федеральный округ (с 2010 года),M01_02 январь-февраль,"","","","","10,969","10,998","10,662","10,204","11,490","10,735","8,731",0,"","",""
037 Южный федеральный округ (с 2010 года),68 март,"","","","","4,514","6,161","4,801","9,549","6,651","4,740","5,977","","","",""
037 Южный федеральный округ (с 2010 года),122 январь-март,"","","","","15,483","17,159","15,463","19,753","18,141","15,475","14,708","","","",""
037 Южный федеральный округ (с 2010 года),61 апрель,"","","","","12,258","8,680","9,715","6,338","9,678","10,103","5,550","","","",""
037 Южный федеральный округ (с 2010 года),117 январь-апрель,"","","","","27,741","25,839","25,178","26,091","27,819","25,578","20,258","","","",""
037 Южный федеральный округ (с 2010 года),67 май,"","","","","4,054","4,826","4,375","5,086","5,829","4,892","4,750","","","",""
037 Южный федеральный округ (с 2010 года),121 январь-май,"","","","","31,795","30,665","29,553","31,177","33,648","30,470","25,008","","","",""
037 Южный федеральный округ (с 2010 года),66 июнь,"","","","","10,044","12,090","12,868","14,136","12,001","10,422","10,574","","","",""
037 Южный федеральный округ (с 2010 года),120 январь-июнь,"","","","","41,839","42,755","42,421","45,313","45,649","40,892","35,582","","","",""
037 Южный федеральный округ (с 2010 года),65 июль,"","","","","12,552","12,762","10,358","10,489","10,733","10,414","10,870","","","",""
037 Южный федеральный округ (с 2010 года),119 январь-июль,"","","","","54,391","55,517","52,779","55,802","56,382","51,306","46,452","","","",""
037 Южный федеральный округ (с 2010 года),60 август,"","","","","13,231","13,152","13,781","15,583","15,582","14,259","10,916","","","",""
037 Южный федеральный округ (с 2010 года),116 январь-август,"","","","","67,622","68,669","66,560","71,385","71,964","65,565","57,368","","","",""
037 Южный федеральный округ (с 2010 года),108 сентябрь,"","","","","15,203","18,150","17,250","16,016","14,669","14,089","12,550","","","",""
037 Южный федеральный округ (с 2010 года),125 январь-сентябрь,"","","","","82,825","86,819","83,810","87,401","86,633","79,654","69,918","","","",""
037 Южный федеральный округ (с 2010 года),105 октябрь,"","","","","14,771","15,812","12,149","12,356","12,411","12,505","10,043","","","",""
037 Южный федеральный округ (с 2010 года),124 январь-октябрь,"","","","","97,596","102,631","95,959","99,757","99,044","92,159","79,961","","","",""
037 Южный федеральный округ (с 2010 года),104 ноябрь,"","","","","8,713","12,226","9,279","9,965","9,033","8,519","6,399","","","",""
037 Южный федеральный округ (с 2010 года),123 январь-ноябрь,"","","","","106,309","114,857","105,238","109,722","108,077","100,678","86,360","","","",""
037 Южный федеральный округ (с 2010 года),62 декабрь,"","","","","7,244","10,918","8,139","7,001","7,122","8,758","5,725","","","",""
037 Южный федеральный округ (с 2010 года),118 январь-декабрь,"","","","","113,553","125,775","113,377","116,723","115,199","109,436","92,085","","","",""
040 Южный федеральный округ (с 29.07.2016),115 январь,"","","","","","","","","","","","5,311","5,098","4,822","4,392"
040 Южный федеральный округ (с 29.07.2016),114 февраль,"","","","","","","","","","","","6,587","5,304","4,969","6,885"
040 Южный федеральный округ (с 29.07.2016),M01_02 январь-февраль,"","","","","","","","","","","","11,898","10,402","9,791","11,277"
040 Южный федеральный округ (с 29.07.2016),68 март,"","","","","","","","","","","","6,181","6,055","7,630","5,275"
040 Южный федеральный округ (с 29.07.2016),122 январь-март,"","","","","","","","","","","","18,079","16,457","17,421","16,552"
040 Южный федеральный округ (с 29.07.2016),61 апрель,"","","","","","","","","","","","10,979","10,028","7,006","4,208"
040 Южный федеральный округ (с 29.07.2016),117 январь-апрель,"","","","","","","","","","","","29,058","26,485","24,427","20,760"
040 Южный федеральный округ (с 29.07.2016),67 май,"","","","","","","","","","","","4,771","4,712","5,109","1,886"
040 Южный федеральный округ (с 29.07.2016),121 январь-май,"","","","","","","","","","","","33,829","31,197","29,536","22,646"
040 Южный федеральный округ (с 29.07.2016),66 июнь,"","","","","","","","","","","","12,124","11,464","11,955","7,203"
040 Южный федеральный округ (с 29.07.2016),120 январь-июнь,"","","","","","","","","","","","45,953","42,661","41,491","29,849"
040 Южный федеральный округ (с 29.07.2016),65 июль,"","","","","","","","","","","","14,140","10,361","10,274","9,183"
040 Южный федеральный округ (с 29.07.2016),119 январь-июль,"","","","","","","","","","","","60,093","53,022","51,765","39,032"
040 Южный федеральный округ (с 29.07.2016),60 август,"","","","","","","","","","","","14,124","15,471","13,970","13,414"
040 Южный федеральный округ (с 29.07.2016),116 январь-август,"","","","","","","","","","","","74,217","68,493","65,735","52,446"
040 Южный федеральный округ (с 29.07.2016),108 сентябрь,"","","","","","","","","","","","17,494","15,532","13,976","12,490"
040 Южный федеральный округ (с 29.07.2016),125 январь-сентябрь,"","","","","","","","","","","","91,711","84,025","79,711","64,936"
040 Южный федеральный округ (с 29.07.2016),105 октябрь,"","","","","","","","","","","","11,622","5,744","11,632","10,786"
040 Южный федеральный округ (с 29.07.2016),124 январь-октябрь,"","","","","","","","","","","","103,333","89,769","91,343","75,722"
040 Южный федеральный округ (с 29.07.2016),104 ноябрь,"","","","","","","","","","","","8,411","5,278","9,648","6,422"
040 Южный федеральный округ (с 29.07.2016),123 январь-ноябрь,"","","","","","","","","","","","111,744","95,047","100,991","82,144"
040 Южный федеральный округ (с 29.07.2016),62 декабрь,"","","","","","","","","","","","7,996","5,349","8,289","5,896"
040 Южный федеральный округ (с 29.07.2016),118 январь-декабрь,"","","","","","","","","","","","119,740","100,396","109,280","88,040"
79000000000 Республика Адыгея (Адыгея),115 январь,163,170,163,188,145,158,151,130,145,159,99,104,112,105,84
79000000000 Республика Адыгея (Адыгея),114 февраль,156,174,207,201,187,173,171,162,170,163,122,105,118,93,148
79000000000 Республика Адыгея (Адыгея),M01_02 январь-февраль,319,344,370,389,332,331,322,292,315,322,221,209,230,198,232
79000000000 Республика Адыгея (Адыгея),68 март,201,215,278,202,180,200,185,288,174,135,166,140,147,156,118
79000000000 Республика Адыгея (Адыгея),122 январь-март,520,559,648,591,512,531,507,580,489,457,387,349,377,354,350
79000000000 Республика Адыгея (Адыгея),61 апрель,233,328,235,268,343,266,289,201,271,263,163,232,229,156,82
79000000000 Республика Адыгея (Адыгея),117 январь-апрель,753,887,883,859,855,797,796,781,760,720,550,581,606,510,432
79000000000 Республика Адыгея (Адыгея),67 май,135,130,192,175,107,113,138,140,151,99,104,94,111,110,39
79000000000 Республика Адыгея (Адыгея),121 январь-май,888,"1,017","1,075","1,034",962,910,934,921,911,819,654,675,717,620,471
79000000000 Республика Адыгея (Адыгея),66 июнь,297,355,329,343,344,331,374,366,294,275,273,264,235,242,157
79000000000 Республика Адыгея (Адыгея),120 январь-июнь,"1,185","1,372","1,404","1,377","1,306","1,241","1,308","1,287","1,205","1,094",927,939,952,862,628
79000000000 Республика Адыгея (Адыгея),65 июль,348,396,341,332,385,412,299,327,282,269,259,298,230,193,204
79000000000 Республика Адыгея (Адыгея),119 январь-июль,"1,533","1,768","1,745","1,709","1,691","1,653","1,607","1,614","1,487","1,363","1,186","1,237","1,182","1,055",832
79000000000 Республика Адыгея (Адыгея),60 август,419,445,531,405,407,385,403,395,401,348,264,293,320,293,285
79000000000 Республика Адыгея (Адыгея),116 январь-август,"1,952","2,213","2,276","2,114","2,098","2,038","2,010","2,009","1,888","1,711","1,450","1,530","1,502","1,348","1,117"
79000000000 Республика Адыгея (Адыгея),108 сентябрь,427,444,436,448,406,499,456,454,337,325,311,364,310,271,272
79000000000 Республика Адыгея (Адыгея),125 январь-сентябрь,"2,379","2,657","2,712","2,562","2,504","2,537","2,466","2,463","2,225","2,036","1,761","1,894","1,812","1,619","1,389"
79000000000 Республика Адыгея (Адыгея),105 октябрь,368,365,367,389,440,432,355,335,361,323,284,248,72,252,218
79000000000 Республика Адыгея (Адыгея),124 январь-октябрь,"2,747","3,022","3,079","2,951","2,944","2,969","2,821","2,798","2,586","2,359","2,045","2,142","1,884","1,871","1,607"
79000000000 Республика Адыгея (Адыгея),104 ноябрь,256,392,303,280,257,375,312,284,243,199,178,189,90,199,172
79000000000 Республика Адыгея (Адыгея),123 январь-ноябрь,"3,003","3,414","3,382","3,231","3,201","3,344","3,133","3,082","2,829","2,558","2,223","2,331","1,974","2,070","1,779"
79000000000 Республика Адыгея (Адыгея),62 декабрь,251,412,284,253,253,374,251,226,197,232,159,182,63,171,165
79000000000 Республика Адыгея (Адыгея),118 январь-декабрь,"3,254","3,826","3,666","3,484","3,454","3,718","3,384","3,308","3,026","2,790","2,382","2,513","2,037","2,241","1,944"
85000000000 Республика Калмыкия,115 январь,101,109,91,118,88,98,99,95,82,73,66,61,69,58,44
85000000000 Республика Калмыкия,114 февраль,94,129,113,113,118,110,106,112,96,75,65,53,65,60,77
85000000000 Республика Калмыкия,M01_02 январь-февраль,195,238,204,231,206,208,205,207,178,148,131,114,134,118,121
85000000000 Республика Калмыкия,68 март,125,126,143,130,122,129,104,120,91,101,80,67,66,88,68
85000000000 Республика Калмыкия,122 январь-март,320,364,347,361,328,337,309,327,269,249,211,181,200,206,189
85000000000 Республика Калмыкия,61 апрель,221,272,226,269,271,257,242,199,233,224,158,169,117,138,36
85000000000 Республика Калмыкия,117 январь-апрель,541,636,573,630,599,594,551,526,502,473,369,350,317,344,225
85000000000 Республика Калмыкия,67 май,61,74,66,66,51,72,62,70,70,67,43,43,32,32,8
85000000000 Республика Калмыкия,121 январь-май,602,710,639,696,650,666,613,596,572,540,412,393,349,376,233
85000000000 Республика Калмыкия,66 июнь,214,203,196,235,206,187,195,191,176,169,165,131,139,119,104
85000000000 Республика Калмыкия,120 январь-июнь,816,913,835,931,856,853,808,787,748,709,577,524,488,495,337
85000000000 Республика Калмыкия,65 июль,183,194,178,183,217,196,165,180,148,140,136,136,138,109,110
85000000000 Республика Калмыкия,119 январь-июль,999,"1,107","1,013","1,114","1,073","1,049",973,967,896,849,713,660,626,604,447
85000000000 Республика Калмыкия,60 август,354,322,381,314,294,275,298,295,276,273,188,208,175,190,164
85000000000 Республика Калмыкия,116 январь-август,"1,353","1,429","1,394","1,428","1,367","1,324","1,271","1,262","1,172","1,122",901,868,801,794,611
85000000000 Республика Калмыкия,108 сентябрь,322,315,279,354,279,303,307,262,242,236,185,208,207,172,171
85000000000 Республика Калмыкия,125 январь-сентябрь,"1,675","1,744","1,673","1,782","1,646","1,627","1,578","1,524","1,414","1,358","1,086","1,076","1,008",966,782
85000000000 Республика Калмыкия,105 октябрь,199,190,238,279,231,265,213,221,180,157,153,130,113,145,96
85000000000 Республика Калмыкия,124 январь-октябрь,"1,874","1,934","1,911","2,061","1,877","1,892","1,791","1,745","1,594","1,515","1,239","1,206","1,121","1,111",878
85000000000 Республика Калмыкия,104 ноябрь,192,297,192,215,204,222,188,121,149,159,78,102,106,118,72
85000000000 Республика Калмыкия,123 январь-ноябрь,"2,066","2,231","2,103","2,276","2,081","2,114","1,979","1,866","1,743","1,674","1,317","1,308","1,227","1,229",950
85000000000 Республика Калмыкия,62 декабрь,167,199,178,200,149,235,159,135,123,149,109,98,79,126,86
85000000000 Республика Калмыкия,118 январь-декабрь,"2,233","2,430","2,281","2,476","2,230","2,349","2,138","2,001","1,866","1,823","1,426","1,406","1,306","1,355","1,036"
35000000000 Республика Крым,115 январь,"","","","","","","","","",871,703,670,611,598,587
35000000000 Республика Крым,114 февраль,"","","","","","","","","",850,702,746,651,635,804
35000000000 Республика Крым,M01_02 январь-февраль,"","","","","","","","","","1,721","1,405","1,416","1,262","1,233","1,391"
35000000000 Республика Крым,68 март,"","","","","","","","","",888,822,818,743,948,683
35000000000 Республика Крым,122 январь-март,"","","","","","","","","","2,609","2,227","2,234","2,005","2,181","2,074"
35000000000 Республика Крым,61 апрель,"","","","","","","","","","1,453","1,015","1,246","1,084",885,343
35000000000 Республика Крым,117 январь-апрель,"","","","","","","","","","4,062","3,242","3,480","3,089","3,066","2,417"
35000000000 Республика Крым,67 май,"","","","","","","","","",703,611,525,583,562,162
35000000000 Республика Крым,121 январь-май,"","","","","","","","","","4,765","3,853","4,005","3,672","3,628","2,579"
35000000000 Республика Крым,66 июнь,"","","","","","","","","","1,590","1,340","1,296","1,404","1,313","1,008"
35000000000 Республика Крым,120 январь-июнь,"","","","","","","","","","6,355","5,193","5,301","5,076","4,941","3,587"
35000000000 Республика Крым,65 июль,"","","","","","","","","","1,576","1,467","1,591","1,203","1,202","1,276"
35000000000 Республика Крым,119 январь-июль,"","","","","","","","","","7,931","6,660","6,892","6,279","6,143","4,863"
35000000000 Республика Крым,60 август,"","","","","","","","","","2,045","1,513","1,680","1,717","1,570","1,764"
35000000000 Республика Крым,116 январь-август,"","","","","","","","","","9,976","8,173","8,572","7,996","7,713","6,627"
35000000000 Республика Крым,108 сентябрь,"","","","","","","","","","2,266","1,824","2,103","1,850","1,705","1,676"
35000000000 Республика Крым,125 январь-сентябрь,"","","","","","","","","","12,242","9,997","10,675","9,846","9,418","8,303"
35000000000 Республика Крым,105 октябрь,"","","","","","","","","","2,226","1,580","1,592",611,"1,586","1,403"
35000000000 Республика Крым,124 январь-октябрь,"","","","","","","","","","14,468","11,577","12,267","10,457","11,004","9,706"
35000000000 Республика Крым,104 ноябрь,"","","","","","","","","","1,395","1,013","1,109",576,"1,163",779
35000000000 Республика Крым,123 январь-ноябрь,"","","","","","","","","","15,863","12,590","13,376","11,033","12,167","10,485"
35000000000 Республика Крым,62 декабрь,"","","","","","","","","","1,554",903,"1,054",576,"1,074",664
35000000000 Республика Крым,118 январь-декабрь,"","","","","","","","","","17,417","13,493","14,430","11,609","13,241","11,149"
03000000000 Краснодарский край,115 январь,"1,963","2,005","1,964","2,126","2,116","2,097","2,008","2,000","2,134","2,014","1,832","1,900","1,944","1,869","1,756"
03000000000 Краснодарский край,114 февраль,"2,052","2,142","1,987","2,751","2,183","2,331","2,231","2,183","2,660","2,486","1,854","2,533","1,999","1,945","2,752"
03000000000 Краснодарский край,M01_02 январь-февраль,"4,015","4,147","3,951","4,877","4,299","4,428","4,239","4,183","4,794","4,500","3,686","4,433","3,943","3,814","4,508"
03000000000 Краснодарский край,68 март,"2,360","2,338","3,154","2,219","1,911","2,629","2,118","4,167","3,038","2,097","2,598","2,437","2,473","2,993","2,122"
03000000000 Краснодарский край,122 январь-март,"6,375","6,485","7,105","7,096","6,210","7,057","6,357","8,350","7,832","6,597","6,284","6,870","6,416","6,807","6,630"
03000000000 Краснодарский край,61 апрель,"3,045","3,927","2,258","3,193","4,636","3,362","3,597","2,744","3,919","3,913","2,555","3,893","3,753","2,959","1,614"
03000000000 Краснодарский край,117 январь-апрель,"9,420","10,412","9,363","10,289","10,846","10,419","9,954","11,094","11,751","10,510","8,839","10,763","10,169","9,766","8,244"
03000000000 Краснодарский край,67 май,"1,359","1,269","1,989","1,963","1,701","1,949","1,821","2,020","2,562","2,168","2,007","1,860","1,755","1,970",756
03000000000 Краснодарский край,121 январь-май,"10,779","11,681","11,352","12,252","12,547","12,368","11,775","13,114","14,313","12,678","10,846","12,623","11,924","11,736","9,000"
03000000000 Краснодарский край,66 июнь,"4,110","4,194","4,327","4,207","4,065","4,788","5,232","5,725","5,143","4,457","4,561","4,690","4,389","4,584","2,541"
03000000000 Краснодарский край,120 январь-июнь,"14,889","15,875","15,679","16,459","16,612","17,156","17,007","18,839","19,456","17,135","15,407","17,313","16,313","16,320","11,541"
03000000000 Краснодарский край,65 июль,"4,064","4,517","3,693","4,051","4,767","4,884","4,090","4,180","4,382","4,331","4,574","5,010","3,830","3,847","3,437"
03000000000 Краснодарский край,119 январь-июль,"18,953","20,392","19,372","20,510","21,379","22,040","21,097","23,019","23,838","21,466","19,981","22,323","20,143","20,167","14,978"
03000000000 Краснодарский край,60 август,"4,574","4,982","6,030","5,093","4,799","4,900","5,139","5,857","5,875","5,528","4,470","4,919","5,513","5,117","4,995"
03000000000 Краснодарский край,116 январь-август,"23,527","25,374","25,402","25,603","26,178","26,940","26,236","28,876","29,713","26,994","24,451","27,242","25,656","25,284","19,973"
03000000000 Краснодарский край,108 сентябрь,"6,439","6,516","5,230","5,712","5,715","6,944","6,681","6,337","6,042","5,822","5,372","6,398","5,864","5,236","4,729"
03000000000 Краснодарский край,125 январь-сентябрь,"29,966","31,890","30,632","31,315","31,893","33,884","32,917","35,213","35,755","32,816","29,823","33,640","31,520","30,520","24,702"
03000000000 Краснодарский край,105 октябрь,"4,562","5,472","5,038","5,767","6,308","6,723","5,081","5,404","5,474","5,717","4,682","4,558","2,535","4,522","4,243"
03000000000 Краснодарский край,124 январь-октябрь,"34,528","37,362","35,670","37,082","38,201","40,607","37,998","40,617","41,229","38,533","34,505","38,198","34,055","35,042","28,945"
03000000000 Краснодарский край,104 ноябрь,"3,493","5,324","4,171","3,597","3,633","5,254","4,045","4,514","4,013","3,873","2,884","3,260","2,139","4,048","2,620"
03000000000 Краснодарский край,123 январь-ноябрь,"38,021","42,686","39,841","40,679","41,834","45,861","42,043","45,131","45,242","42,406","37,389","41,458","36,194","39,090","31,565"
03000000000 Краснодарский край,62 декабрь,"3,152","4,872","2,871","2,876","3,037","4,816","3,437","3,059","3,102","3,826","2,543","3,032","2,212","3,210","2,243"
03000000000 Краснодарский край,118 январь-декабрь,"41,173","47,558","42,712","43,555","44,871","50,677","45,480","48,190","48,344","46,232","39,932","44,490","38,406","42,300","33,808"
12000000000 Астраханская область,115 январь,359,378,321,427,416,289,370,346,393,347,320,304,308,273,234
12000000000 Астраханская область,114 февраль,365,454,369,530,418,330,441,379,447,402,326,350,309,272,396
12000000000 Астраханская область,M01_02 январь-февраль,724,832,690,957,834,619,811,725,840,749,646,654,617,545,630
12000000000 Астраханская область,68 март,437,419,627,388,409,337,377,663,506,323,459,339,335,424,284
12000000000 Астраханская область,122 январь-март,"1,161","1,251","1,317","1,345","1,243",956,"1,188","1,388","1,346","1,072","1,105",993,952,969,914
12000000000 Астраханская область,61 апрель,719,888,508,815,"1,031",609,907,588,839,831,485,758,632,488,323
12000000000 Астраханская область,117 январь-апрель,"1,880","2,139","1,825","2,160","2,274","1,565","2,095","1,976","2,185","1,903","1,590","1,751","1,584","1,457","1,237"
12000000000 Астраханская область,67 май,280,259,471,364,322,482,371,451,428,324,366,266,275,307,51
12000000000 Астраханская область,121 январь-май,"2,160","2,398","2,296","2,524","2,596","2,047","2,466","2,427","2,613","2,227","1,956","2,017","1,859","1,764","1,288"
12000000000 Астраханская область,66 июнь,703,662,775,727,704,844,840,825,729,622,601,514,513,544,418
12000000000 Астраханская область,120 январь-июнь,"2,863","3,060","3,071","3,251","3,300","2,891","3,306","3,252","3,342","2,849","2,557","2,531","2,372","2,308","1,706"
12000000000 Астраханская область,65 июль,734,824,750,738,921,"1,258",693,669,681,709,732,780,558,535,502
12000000000 Астраханская область,119 январь-июль,"3,597","3,884","3,821","3,989","4,221","4,149","3,999","3,921","4,023","3,558","3,289","3,311","2,930","2,843","2,208"
12000000000 Астраханская область,60 август,"1,086","1,132","1,318","1,107",962,899,"1,037","1,266","1,193","1,032",814,842,881,797,741
12000000000 Астраханская область,116 январь-август,"4,683","5,016","5,139","5,096","5,183","5,048","5,036","5,187","5,216","4,590","4,103","4,153","3,811","3,640","2,949"
12000000000 Астраханская область,108 сентябрь,"1,378","1,253","1,025","1,050","1,172","1,365","1,371","1,227","1,101",979,914,961,849,765,674
12000000000 Астраханская область,125 январь-сентябрь,"6,061","6,269","6,164","6,146","6,355","6,413","6,407","6,414","6,317","5,569","5,017","5,114","4,660","4,405","3,623"
12000000000 Астраханская область,105 октябрь,815,"1,023","1,074","1,175","1,214","1,226","1,002",966,894,889,740,580,336,581,590
12000000000 Астраханская область,124 январь-октябрь,"6,876","7,292","7,238","7,321","7,569","7,639","7,409","7,380","7,211","6,458","5,757","5,694","4,996","4,986","4,213"
12000000000 Астраханская область,104 ноябрь,695,804,785,641,646,885,643,718,577,531,481,505,292,473,338
12000000000 Астраханская область,123 январь-ноябрь,"7,571","8,096","8,023","7,962","8,215","8,524","8,052","8,098","7,788","6,989","6,238","6,199","5,288","5,459","4,551"
12000000000 Астраханская область,62 декабрь,577,740,557,571,574,706,645,565,569,552,466,530,361,445,404
12000000000 Астраханская область,118 январь-декабрь,"8,148","8,836","8,580","8,533","8,789","9,230","8,697","8,663","8,357","7,541","6,704","6,729","5,649","5,904","4,955"
18000000000 Волгоградская область,115 январь,941,"1,010",851,"1,045","1,054",997,916,933,838,860,699,761,674,617,566
18000000000 Волгоградская область,114 февраль,"1,076","1,195","1,045","1,431",991,"1,144","1,125",937,"1,124",865,820,895,663,640,817
18000000000 Волгоградская область,M01_02 январь-февраль,"2,017","2,205","1,896","2,476","2,045","2,141","2,041","1,870","1,962","1,725","1,519","1,656","1,337","1,257","1,383"
18000000000 Волгоградская область,68 март,991,917,"1,465",779,678,"1,040",759,"1,582",992,727,958,703,717,885,635
18000000000 Волгоградская область,122 январь-март,"3,008","3,122","3,361","3,255","2,723","3,181","2,800","3,452","2,954","2,452","2,477","2,359","2,054","2,142","2,018"
18000000000 Волгоградская область,61 апрель,"1,477","2,192",844,"1,648","2,316","1,589","1,845",929,"1,604","1,669",817,"1,543","1,371",705,591
18000000000 Волгоградская область,117 январь-апрель,"4,485","5,314","4,205","4,903","5,039","4,770","4,645","4,381","4,558","4,121","3,294","3,902","3,425","2,847","2,609"
18000000000 Волгоградская область,67 май,635,598,"1,055",804,683,862,726,932,972,848,805,651,620,693,297
18000000000 Волгоградская область,121 январь-май,"5,120","5,912","5,260","5,707","5,722","5,632","5,371","5,313","5,530","4,969","4,099","4,553","4,045","3,540","2,906"
