region,period,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
14000000000 Белгородская область,116 январь-август,"7,920","8,700","8,141","8,504","8,391","8,672","7,968","8,936","8,942","7,989","6,528","7,707","7,042","6,499","4,937"
14000000000 Белгородская область,108 сентябрь,"1,787","1,980","1,483","1,660","1,665","2,057","1,771","1,812","1,550","1,661","1,194","1,510","1,446","1,273",968
14000000000 Белгородская область,125 январь-сентябрь,"9,707","10,680","9,624","10,164","10,056","10,729","9,739","10,748","10,492","9,650","7,722","9,217","8,488","7,772","5,905"
14000000000 Белгородская область,105 октябрь,"1,140","1,329","1,137","1,216","1,371","1,494","1,035","1,067","1,137","1,214",806,816,763,866,715
14000000000 Белгородская область,124 январь-октябрь,"10,847","12,009","10,761","11,380","11,427","12,223","10,774","11,815","11,629","10,864","8,528","10,033","9,251","8,638","6,620"
14000000000 Белгородская область,104 ноябрь,957,"1,531",966,905,899,"1,469",900,989,911,988,551,679,657,829,447
14000000000 Белгородская область,123 январь-ноябрь,"11,804","13,540","11,727","12,285","12,326","13,692","11,674","12,804","12,540","11,852","9,079","10,712","9,908","9,467","7,067"
14000000000 Белгородская область,62 декабрь,615,"1,359",648,632,651,"1,272",726,672,667,"1,007",443,575,524,871,409
14000000000 Белгородская область,118 январь-декабрь,"12,419","14,899","12,375","12,917","12,977","14,964","12,400","13,476","13,207","12,859","9,522","11,287","10,432","10,338","7,476"
15000000000 Брянская область,115 январь,471,480,375,517,522,449,399,456,449,482,353,376,364,332,260
15000000000 Брянская область,114 февраль,625,672,567,836,572,715,626,591,691,601,437,546,423,439,513
15000000000 Брянская область,M01_02 январь-февраль,"1,096","1,152",942,"1,353","1,094","1,164","1,025","1,047","1,140","1,083",790,922,787,771,773
15000000000 Брянская область,68 март,554,334,755,375,286,539,323,758,436,282,446,298,297,481,268
15000000000 Брянская область,122 январь-март,"1,650","1,486","1,697","1,728","1,380","1,703","1,348","1,805","1,576","1,365","1,236","1,220","1,084","1,252","1,041"
15000000000 Брянская область,61 апрель,665,"1,031",377,836,"1,115",664,840,303,727,803,225,646,651,271,227
15000000000 Брянская область,117 январь-апрель,"2,315","2,517","2,074","2,564","2,495","2,367","2,188","2,108","2,303","2,168","1,461","1,866","1,735","1,523","1,268"
15000000000 Брянская область,67 май,239,274,401,340,300,318,292,384,385,306,355,270,243,341,79
15000000000 Брянская область,121 январь-май,"2,554","2,791","2,475","2,904","2,795","2,685","2,480","2,492","2,688","2,474","1,816","2,136","1,978","1,864","1,347"
15000000000 Брянская область,66 июнь,"1,062","1,168","1,192","1,104",921,"1,127","1,052","1,289","1,224",997,956,944,849,888,500
15000000000 Брянская область,120 январь-июнь,"3,616","3,959","3,667","4,008","3,716","3,812","3,532","3,781","3,912","3,471","2,772","3,080","2,827","2,752","1,847"
15000000000 Брянская область,65 июль,"1,349","1,647","1,241","1,300","1,642","1,596","1,458","1,318","1,387","1,243","1,216","1,399",995,"1,020",738
15000000000 Брянская область,119 январь-июль,"4,965","5,606","4,908","5,308","5,358","5,408","4,990","5,099","5,299","4,714","3,988","4,479","3,822","3,772","2,585"
15000000000 Брянская область,60 август,"1,596","1,821","1,957","1,741","1,416","1,590","1,530","1,707","1,711","1,552","1,191","1,230","1,370","1,252","1,065"
15000000000 Брянская область,116 январь-август,"6,561","7,427","6,865","7,049","6,774","6,998","6,520","6,806","7,010","6,266","5,179","5,709","5,192","5,024","3,650"
15000000000 Брянская область,108 сентябрь,"1,427","1,508","1,159","1,196","1,197","1,578","1,326","1,204","1,072","1,060",922,"1,054",910,871,781
15000000000 Брянская область,125 январь-сентябрь,"7,988","8,935","8,024","8,245","7,971","8,576","7,846","8,010","8,082","7,326","6,101","6,763","6,102","5,895","4,431"
15000000000 Брянская область,105 октябрь,765,921,933,914,974,979,775,737,837,830,586,663,388,621,537
15000000000 Брянская область,124 январь-октябрь,"8,753","9,856","8,957","9,159","8,945","9,555","8,621","8,747","8,919","8,156","6,687","7,426","6,490","6,516","4,968"
15000000000 Брянская область,104 ноябрь,806,"1,207",895,724,736,"1,214",761,810,723,786,496,631,411,642,365
15000000000 Брянская область,123 январь-ноябрь,"9,559","11,063","9,852","9,883","9,681","10,769","9,382","9,557","9,642","8,942","7,183","8,057","6,901","7,158","5,333"
15000000000 Брянская область,62 декабрь,694,"1,152",660,594,585,"1,024",619,488,584,794,424,525,377,596,334
15000000000 Брянская область,118 январь-декабрь,"10,253","12,215","10,512","10,477","10,266","11,793","10,001","10,045","10,226","9,736","7,607","8,582","7,278","7,754","5,667"
17000000000 Владимирская область,115 январь,473,560,517,678,595,528,508,458,578,569,439,425,418,397,355
17000000000 Владимирская область,114 февраль,623,673,641,860,584,656,678,594,738,615,466,552,478,413,583
17000000000 Владимирская область,M01_02 январь-февраль,"1,096","1,233","1,158","1,538","1,179","1,184","1,186","1,052","1,316","1,184",905,977,896,810,938
17000000000 Владимирская область,68 март,601,412,758,414,324,558,388,820,589,369,554,366,352,492,307
